TARGETID,SURVEY
39633148992029627,sv2
39633144617370453,sv2
39633144617372285,sv2
39633148987837288,sv2
39633148987835844,sv2
39633148987837456,sv2
39633144617372331,sv2
39633144617371605,sv2
39633148992028712,sv2
39633148987835999,sv2
39633144617370748,sv2
39633148987836541,sv2
39633148987834663,sv2
39633148987835660,sv2
39633144621565219,sv2
39633144621566220,sv2
39633144621563927,sv2
39633144621564672,sv2
39633144617370717,sv2
39633187470574373,sv2
39633183267881336,sv2
39633183263690155,sv2
39633183267882120,sv2
39633183267881838,sv2
39633183263690569,sv2
39633183263690212,sv2
39633179044218649,sv2
39633179044220436,sv2
39633179044218807,sv2
39633183263688467,sv2
39633183263688225,sv2
39633187466380247,sv2
39633187466381563,sv2
39633183263687916,sv2
39633183263687097,sv2
39633179044217412,sv2
39633179044217916,sv2
39633183263687405,sv2
39633179044218250,sv2
39633183263688751,sv2
39633179044220540,sv2
39633183267882096,sv2
39633187466381057,sv2
39633187466381626,sv2
39633174816361593,sv2
39633170563334755,sv2
39633174820552897,sv2
39633179048413525,sv2
39633179048412871,sv2
39633174820552855,sv2
39633174812165148,sv2
39633174820552978,sv2
39633174816361706,sv2
39633179052605989,sv2
39633179048413791,sv2
39633179048414536,sv2
39633183272076019,sv2
39633174816358978,sv2
39633179048413652,sv2
39633179052607083,sv2
39633179052607097,sv2
39633179048413833,sv2
39633179044221242,sv2
39633170559142986,sv2
39633174816361055,sv2
39633170559142342,sv2
39633174816358841,sv2
39633174812166624,sv2
39633174812167055,sv2
39633148975252618,sv2
39633148975253832,sv2
39633148975252453,sv2
39633148975254251,sv2
39633148975252858,sv2
39633148975252382,sv2
39633148975254285,sv2
39633144608981251,sv2
39633157653269093,sv2
39633157653268478,sv2
39633157653267553,sv2
39633153320552281,sv2
39633157653268597,sv2
39633157653269396,sv2
39633148971059095,sv2
39633157653268197,sv2
39633157653267728,sv2
39633148971059008,sv2
39633153320552735,sv2
39633148979446798,sv2
39633148975254795,sv2
39633148979446439,sv2
39633148975254579,sv2
39633153324747157,sv2
39633153324748063,sv2
39633153324746480,sv2
39633153328939437,sv2
39633153324747810,sv2
39633153328939326,sv2
39633148975252386,sv2
39633153324746282,sv2
39633140225934883,sv2
39633140225934129,sv2
39633144608984450,sv2
39633144608984030,sv2
39633144613176139,sv2
39633140221742462,sv2
39633144613175712,sv2
39633144613176067,sv2
39633144608982781,sv2
39633144608982221,sv2
39633157649075322,sv2
39633157649074965,sv2
39633157653266883,sv2
39633161965011785,sv2
39633144608984203,sv2
39633144608984446,sv2
39633144608983644,sv2
39633144608983050,sv2
39633153316359278,sv2
39633153320551828,sv2
39633161960817773,sv2
39633161960819215,sv2
39633161956626222,sv2
39633161960818748,sv2
39633161960817382,sv2
39633161960817877,sv2
39633157649072957,sv2
39633157649073714,sv2
39633157649073385,sv2
39633157649073983,sv2
39633153316358763,sv2
39633153320551489,sv2
39633161960817584,sv2
39633166251592939,sv2
39633161960817078,sv2
39633166251593510,sv2
39633153328941046,sv2
39633153328941253,sv2
39633148979448644,sv2
39633153328940174,sv2
39633148983642018,sv2
39633148983643311,sv2
39633148983642524,sv2
39633144613178042,sv2
39633153328942260,sv2
39633153333133505,sv2
39633153328941993,sv2
39633144613176557,sv2
39633144613177650,sv2
39633144613177725,sv2
39633144613176613,sv2
39633144613176061,sv2
39633157657462468,sv2
39633157657462177,sv2
39633157657461728,sv2
39633153328940396,sv2
39633157657462584,sv2
39633157657461480,sv2
39633148983642309,sv2
39633153333135873,sv2
39633148983641117,sv2
39633148983643117,sv2
39633153333134958,sv2
39633267296568033,sv2
39633267296568586,sv2
39633267296568558,sv2
39633263492333762,sv2
39633157628101075,sv2
39633157628101993,sv2
39633161935653938,sv2
39633161939846267,sv2
39633161939845444,sv2
39633166230620903,sv2
39633166230620488,sv2
39633161965012145,sv2
39633161965012577,sv2
39633166255785340,sv2
39633166255785453,sv2
39633166255787029,sv2
39633166251593405,sv2
39633170529782862,sv2
39633166255784408,sv2
39633166251593488,sv2
39633174791193223,sv2
39633174791194083,sv2
39633170533976148,sv2
39633170533974988,sv2
39633170533975528,sv2
39633170529783311,sv2
39633174787002494,sv2
39633174791195468,sv2
39633174795387248,sv2
39633174795388013,sv2
39633166264175448,sv2
39633170542366218,sv2
39633170542364854,sv2
39633166264175112,sv2
39633166264173141,sv2
39633170538171675,sv2
39633166264175768,sv2
39633166268367535,sv2
39633166268368693,sv2
39633166268368096,sv2
39633161973399825,sv2
39633166259981511,sv2
39633161973401491,sv2
39633161973402189,sv2
39633166259980681,sv2
39633161973399972,sv2
39633166264174742,sv2
39633161969207470,sv2
39633161969207097,sv2
39633161973402407,sv2
39633161977593890,sv2
39633166268369577,sv2
39633161973402871,sv2
39633157657461943,sv2
39633161973399792,sv2
39633161969206750,sv2
39633157657464162,sv2
39633157657462662,sv2
39633161969206040,sv2
39633157657462298,sv2
39633161969207777,sv2
39633157657463650,sv2
39633157657463215,sv2
39633157661656933,sv2
39633157661657375,sv2
39633157661656852,sv2
39633157661658016,sv2
39633157661655917,sv2
39633157661655762,sv2
39633157661657277,sv2
39633153333135666,sv2
39633157657463757,sv2
39633166259980710,sv2
39633161965013661,sv2
39633161969205308,sv2
39633157657461310,sv2
39633161969206011,sv2
39633157657462210,sv2
39633187437020701,sv2
39633187441214858,sv2
39633187441216738,sv2
39633187441214741,sv2
39633187441216451,sv2
39633187445407901,sv2
39633187445408602,sv2
39633187441217021,sv2
39633183238524191,sv2
39633183242717010,sv2
39633187437022414,sv2
39633187437022140,sv2
39633183238524592,sv2
39633183242716188,sv2
39633183242717025,sv2
39633183242715616,sv2
39633183238524420,sv2
39633191622935303,sv2
39633183242717241,sv2
39633187445410312,sv2
39633187445410599,sv2
39633191627129868,sv2
39633191627131527,sv2
39633191627129084,sv2
39633191627130415,sv2
39633153316357677,sv2
39633157644878763,sv2
39633157644878721,sv2
39633157644878910,sv2
39633157644878179,sv2
39633157644880620,sv2
39633157640686106,sv2
39633161944040770,sv2
39633157640684945,sv2
39633157640684669,sv2
39633161952428185,sv2
39633161948234786,sv2
39633161944043010,sv2
39633157636491583,sv2
39633161948235344,sv2
39633161948234042,sv2
39633161948236652,sv2
39633161948236572,sv2
39633161948236489,sv2
39633161944043243,sv2
39633161952431203,sv2
39633166251591103,sv2
39633161952432056,sv2
39633157640684909,sv2
39633157640685730,sv2
39633161956622724,sv2
39633161952428611,sv2
39633161952429629,sv2
39633161952430346,sv2
39633161948236865,sv2
39633161952431423,sv2
39633161956622562,sv2
39633161956623514,sv2
39633161956624586,sv2
39633166247396291,sv2
39633161956624907,sv2
39633161956624058,sv2
39633166247395586,sv2
39633161956622579,sv2
39633161948236057,sv2
39633161956623021,sv2
39633166243202540,sv2
39633166243202779,sv2
39633166243202190,sv2
39633166243202062,sv2
39633166243201701,sv2
39633166243201557,sv2
39633166251592211,sv2
39633166243202521,sv2
39633170521392586,sv2
39633166243203572,sv2
39633174774418300,sv2
39633174774417738,sv2
39633170517199530,sv2
39633170517199183,sv2
39633174774417083,sv2
39633170517199042,sv2
39633174774416735,sv2
39633170517198337,sv2
39633174774417861,sv2
39633174774417127,sv2
39633174774418107,sv2
39633166251591231,sv2
39633166234815362,sv2
39633166239007737,sv2
39633170517197780,sv2
39633166239007693,sv2
39633170525585606,sv2
39633166243204045,sv2
39633170521394316,sv2
39633170525586115,sv2
39633166247397220,sv2
39633166247396222,sv2
39633166247396147,sv2
39633166247395427,sv2
39633166247396373,sv2
39633170517198077,sv2
39633166239009468,sv2
39633166239008306,sv2
39633166239008029,sv2
39633166239009228,sv2
39633170521391306,sv2
39633174778609727,sv2
39633170521392097,sv2
39633170521392951,sv2
39633170521391406,sv2
39633174770224627,sv2
39633170517197472,sv2
39633278616996886,sv2
39633191635519865,sv2
39633191635520299,sv2
39633191635518711,sv2
39633191631325726,sv2
39633191631324300,sv2
39633191631325947,sv2
39633191631326366,sv2
39633191631326230,sv2
39633187457992291,sv2
39633187457991508,sv2
39633187457990680,sv2
39633187457992064,sv2
39633187453800528,sv2
39633191631326514,sv2
39633183255302039,sv2
39633179040026359,sv2
39633187462187470,sv2
39633183259494673,sv2
39633183259496316,sv2
39633187466379337,sv2
39633187462187740,sv2
